Data,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2020-05-23,524,436,1764,1228,335,68,225,328,443,549,1555,626,1026,184,348,209,160,418,149,398,343,944,3687,303,73,132,53
2020-05-24,293,262,1065,1428,92,65,161,584,899,473,2424,315,973,132,98,183,113,134,89,89,330,3379,1603,387,66,110,66
2020-05-25,341,231,415,1952,67,75,105,468,305,590,1595,193,607,160,62,134,119,89,179,358,294,1386,1464,292,69,38,99
2020-05-26,280,383,1667,2523,225,69,162,376,362,836,1492,903,488,170,713,287,181,226,141,524,554,726,2392,280,159,128,77
2020-05-27,470,652,1559,2433,369,99,165,522,504,254,1867,1290,1065,246,158,177,200,263,356,595,495,2374,3466,551,172,211,86
2020-05-28,349,533,2638,2666,390,277,254,475,893,546,1834,923,794,277,0,244,272,1186,628,719,675,2488,6382,539,247,112,76
2020-05-29,241,317,2763,2787,250,139,334,563,954,574,2503,879,1542,260,833,306,252,0,530,700,546,3067,5691,422,229,152,94
2020-05-30,231,844,1651,810,241,201,370,605,709,8111,2138,851,1172,242,939,343,237,1008,248,534,398,4467,5586,752,266,258,62
2020-05-31,147,289,818,665,199,175,195,1065,766,1983,2019,300,1023,186,0,194,214,90,259,253,834,968,2556,306,117,68,71
2020-06-01,107,288,396,85,230,218,169,549,506,2015,658,533,450,188,562,234,148,0,461,379,206,1142,1598,730,204,112,79
2020-06-02,139,621,1421,3161,305,158,138,722,2532,2569,1328,1164,608,387,269,322,328,587,162,1082,269,2202,6999,746,471,168,78
2020-06-03,214,596,1152,3567,236,293,215,848,1021,2983,1549,1159,955,322,916,434,331,479,374,970,1071,2508,5188,764,193,139,156
2020-06-04,342,444,2126,3275,746,340,183,690,1012,3739,2455,1561,1044,236,133,211,326,612,498,773,1024,1692,5717,903,374,346,123
2020-06-05,263,776,1193,2911,403,348,301,840,2956,1800,2684,1000,1004,653,158,377,528,573,314,1215,961,2134,5365,1285,429,287,72
2020-06-06,241,446,1119,2216,838,407,323,881,977,1980,2157,1208,850,388,9,395,257,454,439,841,944,1467,5984,1642,296,181,135
2020-06-07,458,272,484,1095,410,291,139,888,854,696,2123,523,881,373,3,318,292,98,280,669,764,3223,2524,773,144,216,121
2020-06-08,145,249,542,1761,516,239,163,0,465,1334,1778,641,463,143,1436,437,134,115,0,1040,180,1743,1520,6,311,222,71
2020-06-09,329,477,1423,3116,594,288,245,1487,1766,2779,2698,1501,305,306,139,399,283,552,627,1305,219,3480,5545,1461,397,239,131
2020-06-10,289,852,1615,2947,630,291,205,983,2204,3018,1439,1580,925,432,541,489,517,817,402,1380,1399,1394,6178,1343,638,263,142
2020-06-11,345,543,1140,2031,697,247,272,1024,1206,2477,2172,1338,1059,464,1666,441,626,549,359,885,947,1402,6204,1074,498,490,256
2020-06-12,204,517,1122,2202,677,118,215,831,774,1826,1925,1186,878,514,267,478,248,216,212,1028,1658,2009,5380,889,189,271,148
2020-06-13,239,639,915,2182,486,130,187,856,1123,724,1254,898,799,488,288,1332,528,243,131,675,508,1052,4975,563,94,161,234
2020-06-14,108,190,480,669,155,33,41,1312,613,319,991,559,590,328,382,1102,350,34,64,509,767,736,5327,912,4,337,198
2020-06-15,129,301,271,45,315,6,165,763,1219,2714,742,655,246,204,43,1707,133,777,600,1140,347,1374,3258,813,2238,324,118
2020-06-16,232,1211,1241,2019,830,54,172,670,1586,1827,2119,1460,920,524,998,635,841,1033,442,1371,296,2397,8825,1696,1082,203,234
2020-06-17,336,594,1529,2949,557,215,264,1235,1720,3678,2024,1584,1019,678,0,497,528,657,613,1489,1323,3620,1232,1760,972,736,379
2020-06-18,325,769,1189,2431,237,271,201,766,651,2306,1356,48,1180,540,677,531,834,694,558,1230,1559,354,1111,1381,1068,388,110
2020-06-19,323,535,947,3449,549,229,182,1273,2345,2590,2409,3333,1094,468,150,470,866,765,749,1471,1146,6061,19030,2381,723,841,392
2020-06-20,276,1652,1219,2809,599,387,247,792,1382,2293,1173,1428,1398,1246,3167,641,877,551,786,1074,1253,2159,4135,1336,853,609,324
2020-06-21,118,266,508,1773,229,83,151,959,975,710,386,263,995,451,84,536,839,210,474,642,336,596,3392,989,739,508,247
2020-06-22,158,2842,321,1366,646,68,123,738,807,1292,630,469,381,212,667,399,623,362,355,926,1277,1439,2788,921,917,551,154
2020-06-23,271,1755,1342,2616,671,2152,289,853,1998,3370,1332,1746,337,793,118,499,729,1154,1307,1043,979,3297,7502,1220,1032,638,393
